Pos,No.,Name,Team,Gender,Class,Time,Behind,Hardtail,eBike,S1: Rockshox Point n Shoot,,,S2: Peatys Castle,,,S3: Camelbak Grand Canyon,,,S4: Exposure Booze Cruise,,,S5: Fox Moor Line,,,S6: Topeak Rake n Ride,,,S7: Maxxis Thistle Hill,,,Bonus,Penalty Details
79th,160,Nick Icke,BMeX,M,Enduro | Veteran Male (40-49),21:27.6,+2:46.97,,,03:32.5,61st,+0:27.25,03:47.6,116th,+0:39.99,02:23.9,59th,+0:18.75,03:30.7,122nd,+0:31.26,02:13.5,50th,+0:10.21,02:20.2,84th,+0:13.85,03:39.2,160th,+0:30.19,,
80th,397,Jake Gilfillan,50-01,M,Enduro | Senior Male (18-29),21:28.3,+2:47.72,,,03:38.2,90th,+0:32.91,03:45.8,108th,+0:38.15,02:23.8,57th,+0:18.69,03:38.0,197th,+0:38.55,02:14.5,64th=,+0:11.25,02:21.4,93rd,+0:15.01,03:26.7,59th,+0:17.69,,
81st,151,Liam Little,Bikepark Dent,M,Enduro | Master Male (30-39),21:30.3,+2:49.66,,,03:37.0,81st,+0:31.70,03:47.1,113th,+0:39.40,02:24.9,71st,+0:19.84,03:29.8,114th,+0:30.35,02:17.0,88th=,+0:13.75,02:19.9,79th,+0:13.55,03:34.6,122nd,+0:25.60,,
82nd,631,Tom Weston,Fish & Chips,M,Enduro | Master Male (30-39),21:31.4,+2:50.83,,,03:51.1,152nd,+0:45.85,03:45.0,102nd,+0:37.30,02:27.8,95th,+0:22.71,03:25.4,81st,+0:25.94,02:14.7,68th,+0:11.40,02:19.5,74th,+0:13.16,03:28.0,66th=,+0:19.00,,
83rd,1155,Jacob Smith,,M,Enduro | Master Male (30-39),21:33.5,+2:52.87,,,03:37.5,86th,+0:32.30,04:05.2,240th,+0:57.59,02:27.4,91st=,+0:22.25,03:21.7,59th,+0:22.26,02:14.7,69th,+0:11.50,02:18.9,61st=,+0:12.50,03:28.0,66th=,+0:19.00,,
84th,363,Martin Davies,Trash Free Trails,M,Enduro | Master Male (30-39),21:34.1,+2:53.48,,,03:46.4,122nd,+0:41.14,03:41.8,83rd,+0:34.19,02:29.4,109th,+0:24.34,03:25.7,86th=,+0:26.30,02:18.1,108th=,+0:14.80,02:21.4,94th=,+0:15.09,03:31.2,92nd=,+0:22.15,,
85th,98,Luke Burton,North Lincs Enduro,M,Enduro | Veteran Male (40-49),21:34.2,+2:53.60,,,03:36.5,78th,+0:31.29,03:40.2,78th,+0:32.53,02:29.8,112th,+0:24.70,03:30.8,124th,+0:31.40,02:22.5,182nd,+0:19.25,02:23.6,122nd,+0:17.25,03:30.7,84th,+0:21.71,,
86th,426,Martin Sykes,53 Degrees North Racing,M,Enduro | Grand Vet Male (50+),21:34.4,+2:53.76,,,03:54.4,186th,+0:49.19,03:58.2,197th,+0:50.59,02:32.6,142nd,+0:27.50,03:28.6,107th,+0:29.16,02:17.2,96th,+0:13.95,02:19.2,69th=,+0:12.80,03:29.1,77th,+0:20.10,00:25.0,Course: -0:25.00 (S1 Diversion)
87th,718,Jonathon Weaver,North Nibley Racing,M,Enduro | Master Male (30-39),21:34.8,+2:54.22,,,03:28.7,47th,+0:23.44,03:36.2,63rd,+0:28.59,02:32.6,140th,+0:27.45,03:24.8,79th,+0:25.40,02:23.0,193rd,+0:19.71,02:30.9,284th=,+0:24.50,03:38.7,155th,+0:29.66,,
88th,148,Alex Hall,Bigfoot MBC,M,Enduro | Senior Male (18-29),21:36.2,+2:55.61,,,03:38.0,87th=,+0:32.70,03:37.8,70th,+0:30.19,02:27.2,89th,+0:22.15,03:30.9,125th,+0:31.45,02:23.6,205th=,+0:20.31,02:27.3,185th=,+0:20.94,03:31.4,96th,+0:22.40,,
89th,685,Chris Sage,Fox Racing UK,M,Enduro | Master Male (30-39),21:37.3,+2:56.73,,,03:37.3,85th,+0:32.00,03:49.0,131st,+0:41.30,02:26.9,82nd,+0:21.80,03:30.7,123rd,+0:31.30,02:16.1,79th,+0:12.80,02:21.7,98th,+0:15.35,03:35.7,129th,+0:26.71,,
90th,516,Ethan King,Buzz Cycles,M,Enduro | Senior Male (18-29),21:37.8,+2:57.21,,,03:51.1,151st,+0:45.81,03:39.1,73rd,+0:31.49,02:28.4,102nd,+0:23.30,03:28.5,105th,+0:29.09,02:16.9,87th,+0:13.60,02:22.9,111th=,+0:16.56,03:30.9,88th,+0:21.89,,
91st,200,Zac Sherwin,Fast Pies,M,Enduro | Master Male (30-39),21:38.0,+2:57.44,,,03:35.4,73rd=,+0:30.15,03:40.1,77th,+0:32.49,02:29.9,115th,+0:24.84,03:29.9,116th,+0:30.49,02:22.5,184th,+0:19.29,02:24.3,133rd,+0:17.96,03:35.7,130th=,+0:26.75,,
92nd,67,Chris Pearson,SplatShop.co.uk,M,Enduro | Veteran Male (40-49),21:38.3,+2:57.72,,,03:30.4,50th,+0:25.19,04:10.0,286th=,+1:02.34,02:24.9,70th,+0:19.76,03:23.4,72nd,+0:23.90,02:19.0,121st,+0:15.75,02:23.3,117th=,+0:17.00,03:27.3,63rd,+0:18.31,,
93rd,141,James Dobson,Bare Hill Bikers,M,Enduro | Veteran Male (40-49),21:40.3,+2:59.70,,,03:41.0,99th,+0:35.79,03:56.6,182nd,+0:48.90,02:28.8,105th,+0:23.70,03:26.8,94th,+0:27.40,02:16.0,77th,+0:12.75,02:19.9,78th,+0:13.54,03:31.2,92nd=,+0:22.15,,
94th,2551,Dave Read,Cannondale,M,Enduro | Veteran Male (40-49),21:40.6,+3:00.01,,,03:42.6,105th,+0:37.31,03:47.2,115th,+0:39.59,02:28.4,101st,+0:23.29,03:30.2,119th,+0:30.75,02:19.3,124th=,+0:16.00,02:18.9,65th,+0:12.60,03:34.0,118th=,+0:25.00,,
95th,738,Tom Simpson,Deviate Cycles,M,Enduro | Master Male (30-39),21:41.2,+3:00.65,,,03:55.3,196th,+0:50.01,03:42.1,85th,+0:34.44,02:25.1,72nd,+0:19.96,03:26.6,93rd,+0:27.11,02:18.1,108th=,+0:14.80,02:23.3,117th=,+0:17.00,03:30.9,87th,+0:21.86,,
96th,153,Michael Murphy,Bikepark Dent,M,Enduro | Master Male (30-39),21:42.0,+3:01.41,,,03:41.9,101st,+0:36.64,03:53.7,168th,+0:46.09,02:28.3,100th,+0:23.21,03:24.7,78th,+0:25.26,02:16.5,82nd=,+0:13.29,02:18.9,64th,+0:12.59,03:37.9,151st,+0:28.86,,
97th,285,Joe Butterworth,Santa Cruz Bicycles,M,Enduro | Senior Male (18-29),21:45.8,+3:05.17,,,03:51.7,160th,+0:46.40,03:48.2,122nd,+0:40.59,02:31.9,133rd,+0:26.85,03:31.4,132nd,+0:31.91,02:13.0,43rd,+0:09.75,02:17.5,51st,+0:11.10,03:32.1,100th,+0:23.10,,
98th,94,Luke Teare,A Team,M,Enduro | Senior Male (18-29),21:47.0,+3:06.45,,,03:28.2,45th,+0:22.95,03:39.4,75th,+0:31.78,02:29.8,113th=,+0:24.71,03:44.2,278th,+0:44.80,02:26.1,280th,+0:22.90,02:25.0,144th,+0:18.69,03:34.2,120th,+0:25.15,,
99th,713,Aldis Blacker,,M,Enduro | Senior Male (18-29),21:48.9,+3:08.29,,,03:38.3,91st,+0:33.06,03:49.1,132nd,+0:41.45,02:37.9,212th,+0:32.80,03:29.8,115th,+0:30.40,02:17.9,105th,+0:14.61,02:23.6,123rd=,+0:17.26,03:32.2,102nd,+0:23.24,,
100th,69,Dan Thorpe,SplatShop.co.uk,M,Enduro | Veteran Male (40-49),21:48.9,+3:08.33,,,03:28.3,46th,+0:23.05,03:57.8,194th,+0:50.15,02:27.6,94th,+0:22.51,03:28.7,108th,+0:29.24,02:24.6,238th=,+0:21.35,02:25.3,153rd,+0:18.96,03:36.6,138th,+0:27.60,,
101st,66,Chris Jeffrie,Browns Skip Hire Syndicate,M,Enduro | Veteran Male (40-49),21:49.6,+3:09.00,,,03:42.5,103rd,+0:37.25,03:57.1,187th,+0:49.39,02:24.7,69th,+0:19.65,03:27.5,100th,+0:28.01,02:18.9,120th,+0:15.66,02:23.6,123rd=,+0:17.26,03:35.3,127th,+0:26.31,,
102nd,70,Aaron Worwood,,M,Enduro | Master Male (30-39),21:50.0,+3:09.38,,,03:35.8,75th,+0:30.59,03:48.8,129th,+0:41.15,02:30.2,117th,+0:25.09,03:29.6,113th,+0:30.14,02:23.8,213th,+0:20.59,02:23.2,115th=,+0:16.85,03:38.5,152nd,+0:29.50,,
103rd,336,Andrew Deacon,Team Alpine,M,Enduro | Veteran Male (40-49),21:50.1,+3:09.49,,,03:46.0,120th,+0:40.75,03:57.2,190th,+0:49.53,02:30.6,120th=,+0:25.50,03:22.6,68th,+0:23.11,02:15.4,70th,+0:12.19,02:19.2,71st,+0:12.84,03:39.1,157th,+0:30.10,,
104th,102,James Stapleton,,M,Enduro | Master Male (30-39),21:50.3,+3:09.68,,,03:35.1,72nd,+0:29.81,03:51.4,154th,+0:43.78,02:30.6,122nd=,+0:25.54,03:29.4,111th,+0:29.90,02:17.1,93rd,+0:13.89,02:27.5,197th=,+0:21.15,03:39.1,158th,+0:30.14,,
105th,246,Sam Williams,,M,Enduro | Senior Male (18-29),21:50.3,+3:09.72,,,03:49.3,144th,+0:44.06,03:42.3,87th,+0:34.65,02:31.6,131st,+0:26.55,03:25.1,80th,+0:25.69,02:17.2,95th,+0:13.94,02:22.6,106th=,+0:16.25,03:42.1,186th,+0:33.11,,
106th,468,Jake Purcell,Army Enduro MTB Team,M,Enduro | Senior Male (18-29),21:50.6,+3:09.97,,,03:56.3,207th,+0:51.04,03:39.2,74th,+0:31.55,02:29.8,113th=,+0:24.71,03:25.6,85th,+0:26.11,02:26.8,297th=,+0:23.55,02:23.6,125th,+0:17.29,03:29.2,78th,+0:20.25,,
107th,983,Conor Conway,,M,Enduro | Senior Male (18-29),21:50.6,+3:09.98,,,03:40.1,93rd,+0:34.86,03:46.2,110th,+0:38.50,02:32.1,136th,+0:26.99,03:32.2,142nd,+0:32.75,02:20.5,148th=,+0:17.25,02:26.6,174th,+0:20.25,03:32.9,110th,+0:23.91,,
108th,21,Mat Wright,,M,Enduro | Veteran Male (40-49),21:50.8,+3:10.21,,,04:16.8,415th,+1:11.50,03:43.9,97th,+0:36.25,02:24.5,66th=,+0:19.44,03:20.8,56th,+0:21.40,02:13.8,55th=,+0:10.54,02:20.2,83rd,+0:13.80,03:30.8,86th,+0:21.81,,
109th,270,Conrad Clarke,RAF Gravity Team,M,Enduro | Senior Male (18-29),21:51.0,+3:10.36,,,03:54.1,183rd,+0:48.85,03:46.6,112th,+0:38.99,02:28.9,107th,+0:23.75,03:31.3,130th=,+0:31.90,02:19.4,130th,+0:16.15,02:19.5,72nd=,+0:13.10,03:31.2,92nd=,+0:22.15,,
110th,495,Ollie Davis,Santa Cruz Union,M,Enduro | Senior Male (18-29),21:52.3,+3:11.76,,,04:03.3,270th,+0:58.01,03:48.6,126th,+0:40.94,02:26.2,77th,+0:21.06,03:08.0,8th,+0:08.55,02:16.6,84th,+0:13.34,02:11.1,12th,+0:04.80,03:58.6,351st,+0:49.59,,
111th,358,Jack Little,Little Racing,M,Enduro | Senior Male (18-29),21:52.6,+3:11.99,,,03:44.9,116th,+0:39.65,03:45.8,109th,+0:38.18,02:35.3,178th,+0:30.19,03:38.7,201st,+0:39.30,02:22.1,176th,+0:18.86,02:26.2,169th,+0:19.89,03:19.5,26th,+0:10.45,,
112th,20,Ashley Sugden,Derbyshire Doggers,M,Enduro | Senior Male (18-29),21:53.5,+3:12.89,,,03:43.6,107th=,+0:38.35,03:41.6,82nd,+0:33.98,02:30.7,124th=,+0:25.55,03:32.7,145th,+0:33.25,02:29.1,351st,+0:25.85,02:27.4,193rd,+0:21.04,03:28.4,70th=,+0:19.40,,
n/c,1111,Lewis Kesterton,Tin Donkey Riders,M,Enduro | Senior Male (18-29),21:54.3,,,E,03:40.0,n/c,,03:50.2,n/c,,02:32.9,n/c,,03:31.8,n/c,,02:17.6,n/c,,02:25.8,n/c,,03:36.0,n/c,,,
113th,205,George Swift,,F,Enduro | Senior Female (18-29),21:54.6,+3:13.97,,,03:48.6,139th,+0:43.35,03:48.1,120th,+0:40.44,02:30.7,124th=,+0:25.55,03:26.0,88th,+0:26.51,02:22.1,177th,+0:18.89,02:25.4,155th,+0:19.01,03:33.7,115th,+0:24.75,,
114th,27,Polly Henderson,Juliana Bicycles,F,Enduro | Senior Female (18-29),21:55.7,+3:15.14,,,03:35.4,73rd=,+0:30.15,04:15.7,326th=,+1:08.09,02:27.3,90th,+0:22.16,03:26.3,91st,+0:26.86,02:17.0,88th=,+0:13.75,02:20.4,85th,+0:14.00,03:33.7,113th,+0:24.66,,
115th,365,Ross Lambie,Trash Free Trails,M,Enduro | Veteran Male (40-49),21:56.8,+3:16.18,,,03:57.7,219th,+0:52.46,03:45.6,107th,+0:37.90,02:31.9,132nd,+0:26.80,03:29.1,110th,+0:29.65,02:20.7,152nd,+0:17.46,02:21.1,89th,+0:14.79,03:30.7,83rd,+0:21.65,,
116th,119,Sam Copp,Nobody Gets Left Behind,M,Enduro | Master Male (30-39),21:57.1,+3:16.54,,,03:44.3,112th,+0:39.04,03:48.3,123rd,+0:40.63,02:30.6,122nd=,+0:25.54,03:38.1,198th,+0:38.61,02:21.0,157th,+0:17.80,02:23.6,121st,+0:17.20,03:31.2,95th,+0:22.25,,
117th,874,Paul Holmes,,M,Enduro | Master Male (30-39),21:57.7,+3:17.11,,,03:51.2,156th,+0:45.95,03:52.5,160th,+0:44.89,02:34.5,158th=,+0:29.44,03:33.6,156th,+0:34.16,02:19.3,129th,+0:16.05,02:20.6,87th,+0:14.25,03:25.9,55th,+0:16.90,,
118th,867,James Gant,,M,Enduro | Master Male (30-39),21:57.8,+3:17.17,,,03:46.4,121st,+0:41.11,03:48.2,121st,+0:40.55,02:38.0,216th=,+0:32.94,03:31.9,137th,+0:32.45,02:16.5,81st,+0:13.26,02:22.8,110th,+0:16.49,03:33.9,116th=,+0:24.90,,
119th,87,Ben Clark,NWMB,M,Enduro | Master Male (30-39),22:00.3,+3:19.68,,,03:44.0,111th,+0:38.71,03:42.9,90th,+0:35.23,02:37.0,197th,+0:31.86,03:33.8,161st=,+0:34.40,02:20.8,153rd=,+0:17.50,02:28.5,218th=,+0:22.10,03:33.4,111th,+0:24.41,,
120th,146,Oilver Beart,Bigfoot MBC,M,Enduro | Master Male (30-39),22:00.6,+3:20.03,,,03:42.4,102nd,+0:37.16,03:55.6,177th,+0:47.90,02:29.3,108th,+0:24.15,03:31.8,136th,+0:32.30,02:20.2,143rd,+0:16.95,02:25.3,154th,+0:19.00,03:36.1,134th,+0:27.10,,
121st,433,Benn Goodwill,All beans no toast,M,Enduro | Senior Male (18-29),22:01.9,+3:21.30,,,03:51.9,163rd,+0:46.61,03:46.6,111th,+0:38.94,02:32.5,139th,+0:27.35,03:33.1,149th,+0:33.65,02:19.7,133rd,+0:16.44,02:25.9,165th,+0:19.59,03:32.3,103rd,+0:23.25,,
122nd,297,Scott Ball,,M,Enduro | Master Male (30-39),22:02.8,+3:22.16,,,03:46.9,125th,+0:41.65,03:49.6,139th=,+0:41.99,02:41.4,270th=,+0:36.30,03:28.0,102nd,+0:28.55,02:19.9,137th,+0:16.66,02:23.2,115th=,+0:16.85,03:33.7,114th,+0:24.69,,
123rd,250,Dewi Thomas,PBS,M,Enduro | Veteran Male (40-49),22:03.0,+3:22.39,,,03:53.8,179th,+0:48.59,03:43.7,94th,+0:36.09,02:32.2,137th,+0:27.09,03:33.2,151st,+0:33.80,02:22.0,173rd,+0:18.75,02:29.0,232nd,+0:22.60,03:29.0,75th=,+0:20.00,,
124th,110,Joel Walton,NLC,M,Enduro | Senior Male (18-29),22:03.4,+3:22.78,,,03:38.0,87th=,+0:32.70,03:50.2,144th=,+0:42.59,02:32.8,143rd,+0:27.65,03:38.9,204th,+0:39.40,02:22.3,179th,+0:19.00,02:24.4,134th,+0:18.01,03:37.0,143rd,+0:27.96,,
125th,49,Tod Buchanan,Pinned TV,M,Enduro | Senior Male (18-29),22:05.0,+3:24.39,,,03:48.4,137th,+0:43.14,04:09.6,282nd=,+1:01.99,02:31.1,128th,+0:26.05,03:28.3,104th,+0:28.89,02:16.2,80th,+0:12.95,02:20.5,86th,+0:14.10,03:30.8,85th,+0:21.80,,
126th,63,Oliver Sharp,Sound Advice,M,Enduro | Master Male (30-39),22:05.4,+3:24.78,,,03:47.5,131st,+0:42.25,04:06.6,251st=,+0:58.94,02:26.6,80th,+0:21.50,03:26.4,92nd,+0:26.94,02:21.7,168th,+0:18.49,02:22.6,109th,+0:16.29,03:33.9,116th=,+0:24.90,,
127th,231,Anthony Cooper,Cooper,M,Enduro | Veteran Male (40-49),22:05.6,+3:25.01,,,03:46.6,123rd,+0:41.34,03:49.2,134th,+0:41.59,02:34.5,157th,+0:29.40,03:33.8,159th=,+0:34.35,02:22.5,180th,+0:19.21,02:26.5,172nd,+0:20.10,03:32.6,105th,+0:23.55,,
128th,635,Chris Atkin,Summerhouse Garage,M,Enduro | Veteran Male (40-49),22:07.1,+3:26.46,,,03:52.4,169th,+0:47.14,03:55.7,179th,+0:48.05,02:31.1,127th,+0:26.01,03:31.5,133rd,+0:32.09,02:18.6,114th,+0:15.35,02:22.0,100th=,+0:15.60,03:35.7,130th=,+0:26.75,,
129th,436,Ryan Fairhurst,All beans no toast,M,Enduro | Master Male (30-39),22:07.6,+3:26.97,,,03:54.2,184th,+0:48.95,03:49.8,141st,+0:42.19,02:33.9,153rd,+0:28.81,03:33.1,150th,+0:33.69,02:18.0,106th=,+0:14.75,02:25.9,164th,+0:19.55,03:32.6,106th,+0:23.56,,
130th,232,Adam Taylor,TW@T Racing,M,Enduro | Veteran Male (40-49),22:08.1,+3:27.52,,,03:56.8,213th=,+0:51.60,04:01.2,218th,+0:53.53,02:28.6,104th,+0:23.46,03:30.1,117th,+0:30.65,02:16.8,86th,+0:13.54,02:19.8,77th,+0:13.46,03:34.8,123rd=,+0:25.81,,
131st,601,Nathan Hardwick,,M,Enduro | Senior Male (18-29),22:08.4,+3:27.81,,,03:49.7,145th,+0:44.41,03:52.8,163rd,+0:45.15,02:35.8,184th=,+0:30.69,03:37.3,190th,+0:37.89,02:21.9,172nd,+0:18.60,02:22.0,100th=,+0:15.60,03:29.0,75th=,+0:20.00,,
132nd,494,Jack Clark,Santa Cruz Union,M,Enduro | Senior Male (18-29),22:09.0,+3:28.41,,,04:05.4,290th,+1:00.19,03:49.5,137th,+0:41.84,02:27.1,84th=,+0:22.00,03:31.1,126th,+0:31.65,02:17.3,98th,+0:14.05,02:25.8,162nd=,+0:19.46,03:32.7,108th,+0:23.75,,
133rd,878,Sam Blagbrough,,M,Enduro | Senior Male (18-29),22:10.8,+3:30.21,,,03:56.4,208th=,+0:51.14,03:54.2,173rd,+0:46.50,02:28.8,106th,+0:23.71,03:31.2,128th=,+0:31.80,02:18.8,119th,+0:15.59,02:21.0,88th,+0:14.70,03:40.3,168th=,+0:31.30,,
134th,996,Ben Llewellyn,The Trailhead Bicycle Co,M,Enduro | Master Male (30-39),22:12.0,+3:31.44,,,03:40.7,98th,+0:35.46,03:45.2,105th=,+0:37.59,02:33.7,151st,+0:28.59,03:38.1,199th,+0:38.66,02:22.8,190th,+0:19.56,02:25.8,160th,+0:19.40,03:45.7,232nd,+0:36.71,,
135th,230,Chris Losge,Polar NE,M,Enduro | Veteran Male (40-49),22:13.5,+3:32.93,,,04:02.4,260th=,+0:57.15,03:50.2,144th=,+0:42.59,02:30.4,118th,+0:25.31,03:32.1,139th,+0:32.65,02:17.1,92nd,+0:13.86,02:24.1,131st,+0:17.80,03:37.1,144th=,+0:28.10,,
136th,56,James Clews,Team Hectic UK,M,Enduro | Master Male (30-39),22:14.2,+3:33.60,,,03:51.1,153rd,+0:45.86,03:43.8,95th,+0:36.18,02:35.3,175th=,+0:30.15,03:27.6,101st,+0:28.14,02:27.8,322nd,+0:24.54,02:31.4,295th,+0:25.06,03:37.2,146th,+0:28.20,,
137th,279,Henry Hague,RorysBalls,M,Enduro | Master Male (30-39),22:15.9,+3:35.28,,,03:55.8,201st,+0:50.56,03:50.4,146th,+0:42.74,02:35.0,167th,+0:29.95,03:35.0,173rd,+0:35.60,02:16.8,85th,+0:13.50,02:22.4,105th,+0:16.00,03:40.5,171st,+0:31.46,,
138th,1022,Jaime Harper,True North,M,Enduro | Veteran Male (40-49),22:15.9,+3:35.33,,,03:48.3,136th,+0:43.06,03:47.9,117th,+0:40.19,02:35.2,173rd,+0:30.05,03:32.8,146th,+0:33.34,02:24.7,242nd=,+0:21.50,02:24.4,135th,+0:18.06,03:42.7,190th=,+0:33.66,,
139th,218,Thomas Hibberd,I Only Race For Cake,M,Enduro | Master Male (30-39),22:16.8,+3:36.20,,,03:47.0,127th,+0:41.80,03:42.9,91st,+0:35.29,02:38.0,216th=,+0:32.94,03:38.8,203rd,+0:39.35,02:24.4,228th=,+0:21.10,02:28.7,224th=,+0:22.35,03:36.9,142nd,+0:27.90,,
140th,89,Rick Minshull,Santa Cruz,M,Enduro | Veteran Male (40-49),22:17.5,+3:36.91,,,03:57.5,216th=,+0:52.30,03:50.9,149th,+0:43.28,02:30.6,120th=,+0:25.50,03:32.9,147th,+0:33.45,02:18.7,116th,+0:15.46,02:25.0,143rd,+0:18.60,03:41.8,182nd=,+0:32.85,,
141st,474,Declan Kelly,BackChegMafia,M,Enduro | Senior Male (18-29),22:17.6,+3:37.01,,,03:57.5,216th=,+0:52.30,03:48.3,124th,+0:40.69,02:36.0,188th,+0:30.90,03:27.3,99th,+0:27.81,02:22.1,174th=,+0:18.85,02:29.5,250th=,+0:23.15,03:36.8,140th,+0:27.84,,
142nd,638,Charles Prinold,Fisher Tours,M,Enduro | Master Male (30-39),22:18.1,+3:37.49,,,03:47.4,130th,+0:42.10,04:15.7,323rd=,+1:07.99,02:32.2,138th,+0:27.15,03:26.9,96th,+0:27.49,02:16.5,82nd=,+0:13.29,02:23.0,113th,+0:16.69,03:36.3,135th,+0:27.31,,
143rd,912,Ian Sanders,Stif Mountain Bikes,M,Enduro | Grand Vet Male (50+),22:20.1,+3:39.49,,,03:53.4,177th,+0:48.14,03:51.2,151st,+0:43.58,02:34.7,162nd,+0:29.55,03:35.1,174th,+0:35.61,02:20.4,145th,+0:17.10,02:24.6,139th,+0:18.29,03:40.8,173rd=,+0:31.75,,
144th,1192,Jessica Stone,Scott Sports UK,F,Enduro | Master Female (30-39),22:21.0,+3:40.40,,,03:37.1,83rd,+0:31.81,03:40.5,79th,+0:32.84,02:35.7,183rd,+0:30.60,03:36.5,182nd,+0:37.10,02:27.0,305th=,+0:23.79,02:33.8,346th,+0:27.40,03:50.4,273rd,+0:41.39,,
145th,258,Phil Dullage,Pegleg and Friends,M,Enduro | Master Male (30-39),22:21.4,+3:40.78,,,03:51.6,159th,+0:46.35,03:50.0,143rd,+0:42.38,02:35.8,184th=,+0:30.69,03:33.5,153rd,+0:34.09,02:20.2,141st=,+0:16.90,02:27.4,189th=,+0:21.00,03:42.9,198th,+0:33.90,,
146th,45,Andy Donnachie,Airdrop Bikes,M,Enduro | Master Male (30-39),22:22.0,+3:41.43,,,03:45.7,118th,+0:40.40,03:52.4,159th,+0:44.78,02:31.5,130th,+0:26.35,03:34.5,167th=,+0:35.05,02:26.9,302nd=,+0:23.69,02:28.2,212th=,+0:21.84,03:42.8,195th=,+0:33.85,,
147th,1088,Bradley Beets,Team Far Kew,M,Enduro | Master Male (30-39),22:22.3,+3:41.70,,,03:48.7,140th,+0:43.44,04:07.5,260th,+0:59.80,02:27.2,88th,+0:22.14,03:24.4,77th,+0:24.99,02:27.1,307th,+0:23.84,02:19.6,75th,+0:13.21,03:47.8,256th,+0:38.81,,
148th,1003,Dylan Lees,Twowheels,M,Enduro | Senior Male (18-29),22:22.6,+3:41.97,,,03:52.7,171st,+0:47.46,03:39.4,76th,+0:31.79,02:44.1,315th,+0:39.04,03:31.7,135th,+0:32.26,02:23.8,211th=,+0:20.56,02:27.6,200th=,+0:21.29,03:43.1,200th,+0:34.10,,
149th,2552,Oliver Warren,53 Degrees North Racing,M,Enduro | Senior Male (18-29),22:22.6,+3:42.00,,,04:05.4,289th,+1:00.16,03:56.8,186th,+0:49.15,02:34.6,160th=,+0:29.45,03:37.5,192nd,+0:38.10,02:15.6,73rd=,+0:12.36,02:18.7,59th,+0:12.31,03:34.0,118th=,+0:25.00,,
150th,272,Dan Jones,RAF Gravity Team,M,Enduro | Master Male (30-39),22:22.9,+3:42.29,,,04:01.8,256th,+0:56.56,03:52.0,157th,+0:44.30,02:33.9,152nd,+0:28.80,03:36.9,187th,+0:37.45,02:19.3,124th=,+0:16.00,02:22.3,104th,+0:15.96,03:36.7,139th,+0:27.75,,
151st,405,Scott Cunningham,2slow1pro,M,Enduro | Master Male (30-39),22:26.9,+3:46.32,,,04:06.9,303rd=,+1:01.70,03:49.2,133rd,+0:41.55,02:33.4,147th,+0:28.31,03:36.4,179th=,+0:36.99,02:21.7,169th=,+0:18.50,02:26.4,170th,+0:20.00,03:32.8,109th,+0:23.80,,
152nd,954,Harry Firth,Rad Brad Inc.,M,Enduro | Senior Male (18-29),22:27.0,+3:46.43,H,,03:42.5,104th,+0:37.26,03:42.3,86th,+0:34.64,02:38.0,219th=,+0:32.95,03:31.6,134th,+0:32.11,02:28.2,329th,+0:24.90,02:28.5,221st,+0:22.19,03:55.9,325th,+0:46.91,,
153rd,129,Andrew Tivey,ATS Cycles,M,Enduro | Veteran Male (40-49),22:27.2,+3:46.58,,,03:46.6,124th,+0:41.40,04:01.0,217th,+0:53.38,02:34.5,158th=,+0:29.44,03:36.6,184th,+0:37.20,02:22.7,189th,+0:19.44,02:28.3,215th=,+0:21.90,03:37.3,148th,+0:28.35,,
154th,1054,Craig Webb,Team Hectic UK,M,Enduro | Senior Male (18-29),22:28.8,+3:48.21,,,03:50.9,150th,+0:45.66,03:44.3,99th,+0:36.69,02:37.0,198th,+0:31.90,03:34.7,171st,+0:35.24,02:24.4,232nd,+0:21.14,02:27.6,199th,+0:21.21,03:49.9,267th,+0:40.90,,
155th,891,Callum Corbin,Side Berms,M,Enduro | Master Male (30-39),22:28.8,+3:48.23,,,04:00.7,244th,+0:55.40,03:56.0,180th,+0:48.39,02:41.1,264th,+0:35.99,03:33.6,154th,+0:34.11,02:17.4,100th,+0:14.16,02:25.1,148th,+0:18.75,03:35.0,125th,+0:25.96,,
156th,428,Joe Krejbich,Trec Faktory Racing,M,Enduro | Master Male (30-39),22:28.9,+3:48.34,,,04:02.4,260th=,+0:57.15,03:59.6,205th,+0:51.94,02:33.0,144th,+0:27.85,03:34.4,166th,+0:34.95,02:18.6,115th,+0:15.39,02:18.9,61st=,+0:12.50,03:42.1,185th,+0:33.09,,
157th,994,Jack Cooper,"All Smoke, No Poke",M,Enduro | Senior Male (18-29),22:30.0,+3:49.41,,,03:48.7,141st,+0:43.45,03:51.0,150th,+0:43.34,02:51.3,417th,+0:46.25,03:32.1,141st,+0:32.69,02:18.3,113th,+0:15.00,02:28.7,223rd,+0:22.31,03:39.9,167th,+0:30.90,,
158th,364,Dom Ferris,Trash Free Trails,M,Enduro | Veteran Male (40-49),22:30.8,+3:50.23,,,03:52.9,175th,+0:47.61,03:50.7,147th,+0:43.04,02:37.6,206th=,+0:32.50,03:34.2,165th,+0:34.76,02:23.8,209th=,+0:20.50,02:29.5,249th,+0:23.14,03:42.2,188th,+0:33.21,,
