Pos,No.,Name,Team,Class,Time,Behind,Hardtail,S1: Fox Racing,S1: Fox Racing Position,S2: Camelbak,S2: Camelbak Position,S3: Maxxis,S3: Maxxis Position,S4: Hope,S4: Hope Position,S5: Peatys,S5: Peatys Position,S6: Exposure,S6: Exposure Position,S7: Julbo,S7: Julbo Position
358th,1031,John Robertson,Rother Valley Riders,Enduro | Master Male,00:24:25.3,+4:59.52, ,00:05:02.9,342nd,00:03:57.7,500th,00:03:32.1,351st,00:03:39.9,389th,00:02:30.1,180th=,00:02:54.3,496th,00:02:48.3,501st
359th,5,Monet Adams, ,Enduro | Senior Female,00:24:26.9,+5:01.13, ,00:05:03.3,347th,00:03:43.1,320th,00:03:37.6,449th,00:03:38.1,356th=,00:02:36.6,364th,00:02:51.8,418th,00:02:56.5,628th=
360th,1022,Scott Greenway,Wrecking Ball,Enduro | Veteran Male,00:24:27.7,+5:01.97, ,00:04:58.0,287th,00:03:52.5,440th,00:03:37.5,448th,00:03:46.9,511th,00:02:39.8,463rd=,00:02:51.9,419th,00:02:41.3,366th
361st,1042,Simon Daykin,Team CHR,Enduro | Veteran Male,00:24:28.1,+5:02.28, ,00:05:16.8,521st,00:03:49.3,401st,00:03:28.7,287th=,00:03:43.0,442nd,00:02:41.3,509th,00:02:48.7,322nd,00:02:40.3,346th
362nd,1165,Jack Hyde,C4,Enduro | Master Male,00:24:28.8,+5:03.06, ,00:05:20.2,566th,00:03:54.3,463rd,00:03:38.1,461st,00:03:38.3,361st,00:02:35.9,342nd,00:02:49.5,348th,00:02:32.5,202nd
363rd,625,Dave Gurney,Malvern Cook Sport,Enduro | Grand Vet Male,00:24:29.5,+5:03.70, ,00:05:06.5,391st,00:03:54.2,462nd,00:03:31.2,336th,00:03:41.9,421st=,00:02:39.8,463rd=,00:02:54.1,492nd=,00:02:41.8,377th
364th,213,Andrew Baker,Alpine Addiction,Enduro | Veteran Male,00:24:29.6,+5:03.79, ,00:05:07.6,415th,00:03:51.6,427th=,00:03:37.2,440th,00:03:39.0,370th,00:02:38.0,413th,00:02:52.4,439th,00:02:43.8,421st
365th,637,Patrick Evans,Manx MTB Enduro,Enduro | Senior Male,00:24:29.6,+5:03.87, ,00:05:18.0,533rd,00:03:48.7,390th,00:03:29.3,301st=,00:03:43.4,447th,00:02:40.9,498th=,00:02:50.1,364th,00:02:39.4,322nd
366th,351,Andrew Dix, ,Enduro | Veteran Male,00:24:30.0,+5:04.23, ,00:05:09.8,453rd,00:03:45.8,357th,00:03:36.5,429th,00:03:40.3,394th,00:02:44.1,590th,00:02:53.1,458th=,00:02:40.4,349th=
367th,951,Adam Norwood,Team Zurpetron,Enduro | Veteran Male,00:24:30.1,+5:04.36, ,00:05:16.0,511th,00:03:53.4,450th,00:03:37.3,445th,00:03:41.1,405th,00:02:39.6,458th,00:02:49.5,349th=,00:02:33.2,219th
368th,949,Frank Broadleday Broadleday,Team Zurpetron,Enduro | Grand Vet Male,00:24:30.2,+5:04.41, ,00:05:21.2,579th,00:03:52.6,442nd,00:03:31.8,344th,00:03:36.5,318th,00:02:35.6,330th,00:02:53.3,468th,00:02:39.3,319th
369th,8,Jono Jones,Maxxis MTB,Enduro | Senior Male,00:24:30.9,+5:05.12, ,00:08:08.1,990th,00:02:54.1,7th,00:03:11.7,89th,00:02:59.5,8th,00:02:14.0,1st,00:02:43.6,182nd=,00:02:19.9,57th
370th,997,David Edwards,trail junkeez,Enduro | Master Male,00:24:31.8,+5:06.03, ,00:05:09.2,442nd,00:04:02.0,558th,00:03:35.4,410th,00:03:37.8,344th,00:02:32.6,245th=,00:02:48.8,324th,00:02:45.9,462nd
371st,1090,Matt Waters,strakka15,Enduro | Veteran Male,00:24:31.8,+5:06.04, ,00:05:05.4,372nd,00:03:59.1,519th,00:03:39.6,493rd,00:03:37.3,332nd,00:02:33.1,255th=,00:02:50.0,362nd,00:02:47.2,487th
372nd,347,Mike Carlin,Warrington Revolution MTB,Enduro | Master Male,00:24:32.2,+5:06.44, ,00:06:05.9,870th,00:03:48.6,389th,00:03:17.1,137th,00:03:29.7,232nd,00:02:32.5,240th=,00:02:46.5,256th,00:02:32.1,193rd
373rd,464,Nathan Clarke, ,Enduro | Veteran Male,00:24:32.6,+5:06.85, ,00:05:04.1,355th,00:03:45.0,342nd,00:03:36.6,430th,00:03:46.1,495th,00:02:40.7,492nd,00:02:58.2,606th,00:02:42.0,379th
374th,562,Darren Petty,Norfolk n chance,Enduro | Veteran Male,00:24:32.8,+5:07.00, ,00:05:06.8,397th=,00:03:58.5,510th,00:03:42.8,534th,00:03:38.0,350th,00:02:36.0,346th,00:02:50.1,365th,00:02:40.5,354th
375th,1035,Paul Brewer, ,Enduro | Grand Vet Male,00:24:33.2,+5:07.45, ,00:04:59.2,306th,00:03:56.7,489th,00:03:26.1,237th,00:03:50.9,570th=,00:02:45.1,622nd,00:02:57.2,577th,00:02:38.1,295th=
376th,690,Aaron Harrison,MMB,Enduro | Master Male,00:24:33.4,+5:07.62, ,00:05:02.1,333rd,00:03:56.6,486th=,00:03:38.6,473rd,00:03:45.5,482nd,00:02:34.4,289th,00:02:48.4,311th,00:02:47.9,494th
377th,640,Craig Mcgee,Manx MTB Enduro,Enduro | Senior Male,00:24:33.9,+5:08.17, ,00:05:19.4,557th,00:03:57.5,499th,00:03:30.7,327th=,00:03:39.3,377th=,00:02:34.8,301st,00:02:52.4,440th=,00:02:39.8,335th
378th,426,Martin Sykes,DATCC,Enduro | Veteran Male,00:24:34.3,+5:08.57, ,00:04:46.1,176th,00:03:53.5,453rd,00:03:26.5,244th,00:03:41.9,419th,00:02:27.3,121st,00:02:45.5,235th,00:03:33.6,871st
379th,956,Paul Wilkinson,TELSKI,Enduro | Master Male,00:24:34.6,+5:08.81, ,00:05:14.9,506th,00:04:01.2,551st,00:03:28.9,292nd,00:03:41.8,417th=,00:02:37.7,398th,00:02:50.2,366th=,00:02:40.0,338th
380th,344,Robin Hyde, ,Enduro | Master Male,00:24:34.6,+5:08.85, ,00:05:14.6,502nd,00:03:54.0,460th,00:03:35.4,409th,00:03:39.5,382nd,00:02:35.4,319th=,00:02:51.5,409th=,00:02:44.2,426th
381st,599,Barry Green,LEYBURN BIKES,Enduro | Master Male,00:24:34.6,+5:08.85, ,00:05:05.9,381st,00:03:49.3,400th,00:03:39.4,486th,00:03:39.3,377th=,00:02:40.0,470th=,00:02:54.5,501st,00:02:46.3,469th
382nd,274,Jonathan Parkin,Bad brains MBC,Enduro | Grand Vet Male,00:24:35.3,+5:09.51, ,00:05:05.3,366th=,00:03:47.8,384th,00:03:38.1,464th,00:03:40.0,390th,00:02:43.5,574th,00:02:58.5,609th,00:02:42.2,385th
383rd,942,Brent Gascoyne, ,Enduro | Master Male,00:24:35.4,+5:09.60, ,00:05:06.6,393rd,00:03:58.2,508th=,00:03:34.8,401st,00:03:41.6,411th,00:02:37.0,379th,00:02:55.1,514th,00:02:42.1,383rd
384th,96,Shaun Duggan, ,Enduro | Master Male,00:24:35.6,+5:09.78, ,00:05:08.7,431st,00:03:41.3,291st,00:03:39.6,492nd,00:03:40.5,399th,00:02:49.8,721st,00:02:56.9,568th,00:02:38.7,306th
385th,717,Tom Bishop,MTB CLUB,Enduro | Senior Male,00:24:36.2,+5:10.45, ,00:05:32.5,680th,00:03:42.2,304th,00:03:38.3,467th,00:03:42.9,440th,00:02:37.0,380th,00:02:49.4,342nd,00:02:34.1,234th
386th,858,James Baskerville, ,Enduro | Senior Male,00:24:36.7,+5:10.93, ,00:05:16.5,517th,00:03:45.1,343rd,00:03:43.1,542nd,00:03:45.4,481st,00:02:33.1,255th=,00:02:49.2,335th,00:02:44.2,427th
387th,101,Gordon Preston,Bollocknack UK,Enduro | Veteran Male,00:24:36.8,+5:11.05, ,00:04:58.0,288th,00:03:44.1,333rd=,00:03:38.4,470th,00:03:46.0,493rd,00:02:36.0,347th,00:02:56.6,553rd,00:02:57.7,646th
388th,769,Ben Hartlebury,REME,Enduro | Master Male,00:24:37.8,+5:12.04, ,00:05:14.1,494th,00:03:47.7,383rd,00:03:43.6,545th,00:03:46.9,513th,00:02:38.0,410th,00:02:48.4,310th,00:02:39.0,311th
389th,1198,Simon Taylor,RAF Waddington,Enduro | Senior Male,00:24:37.9,+5:12.15, ,00:05:11.6,472nd,00:04:07.2,608th,00:03:26.9,254th,00:03:38.0,353rd=,00:02:32.0,223rd,00:02:52.0,422nd=,00:02:50.4,536th
390th,975,Neal Jones,The Woollybacks,Enduro | Veteran Male,00:24:38.5,+5:12.69, ,00:05:21.9,583rd,00:03:41.6,293rd,00:03:29.4,306th,00:03:45.9,491st,00:02:39.5,457th,00:02:57.6,591st,00:02:42.7,400th
391st,1002,Valgard Bertschinger,Tramptastic Pie Eaters,Enduro | Master Male,00:24:38.6,+5:12.86, ,00:05:08.8,435th,00:03:59.6,524th,00:03:34.1,385th,00:03:41.9,420th,00:02:34.7,299th,00:02:55.2,520th=,00:02:44.4,433rd
392nd,412,Andy Perry,Spokes MTB Club,Enduro | Grand Vet Male,00:24:38.9,+5:13.12, ,00:05:22.7,591st,00:03:51.6,427th=,00:03:35.6,412th,00:03:36.0,312th,00:02:40.7,493rd,00:02:50.8,383rd,00:02:41.6,372nd
393rd,743,Darren Godfrey,Norfolk n Chance,Enduro | Veteran Male,00:24:39.0,+5:13.18, ,00:05:12.1,477th,00:03:55.0,471st=,00:03:35.0,405th,00:03:45.5,485th,00:02:40.8,496th,00:02:53.2,467th,00:02:37.4,284th
394th,1037,James Knight,strakka15,Enduro | Master Male,00:24:39.2,+5:13.42, ,00:05:18.9,549th,00:03:58.8,511th,00:03:31.5,340th=,00:03:36.9,326th,00:02:34.4,290th=,00:02:51.2,401st,00:02:47.5,491st
395th,978,Jason Maguire,The Woollybacks,Enduro | Veteran Male,00:24:39.5,+5:13.71, ,00:05:09.1,439th=,00:03:42.0,300th,00:03:39.4,485th,00:03:40.5,397th,00:02:35.8,338th,00:03:06.8,774th,00:02:45.9,461st
396th,807,Jake Berry,Rad Bike Shack,Enduro | Master Male,00:24:41.0,+5:15.23, ,00:05:17.1,522nd,00:03:50.1,407th,00:03:32.7,361st,00:03:41.0,402nd,00:02:39.2,444th=,00:02:58.7,613th,00:02:42.3,389th
397th,1013,James Walker,Weekend Warriors,Enduro | Master Male,00:24:41.3,+5:15.55, ,00:05:19.7,558th,00:03:51.2,424th=,00:03:32.0,348th=,00:03:43.5,449th,00:02:40.1,478th,00:02:52.7,448th,00:02:42.3,387th
398th,1167,Paul Bullimore, ,Enduro | Veteran Male,00:24:41.7,+5:15.96, ,00:05:18.4,538th,00:03:59.6,525th,00:03:40.7,505th,00:03:34.9,294th,00:02:38.1,415th,00:02:51.5,408th,00:02:38.5,302nd=
399th,534,Gemma Ingall,Revolution Sports Physio,Enduro | Master Female,00:24:42.1,+5:16.31, ,00:05:07.1,405th,00:03:59.9,528th,00:03:32.0,350th,00:03:46.6,505th,00:02:37.1,385th,00:02:54.5,500th,00:02:44.9,438th
400th,1124,Danny Appleton, ,Enduro | Master Male,00:24:42.1,+5:16.31, ,00:05:17.2,523rd,00:03:48.8,391st,00:03:34.4,393rd,00:03:43.2,444th,00:02:36.0,345th,00:02:57.6,588th=,00:02:44.9,439th
401st,376,Nicholas Bryson,Dalbeattie Hairy Bikers,Enduro | Veteran Male,00:24:42.4,+5:16.63, ,00:05:05.2,365th,00:03:48.9,393rd,00:03:42.4,526th,00:03:50.9,576th,00:02:40.5,490th,00:02:51.6,415th,00:02:42.8,403rd
402nd,902,Lee Smith,Swindon MTB Enthusiasts,Enduro | Veteran Male,00:24:42.5,+5:16.71, ,00:05:09.7,447th,00:03:43.1,321st,00:03:34.9,404th,00:03:44.8,471st=,00:02:34.2,286th,00:02:53.3,470th,00:03:02.3,701st
403rd,703,Andy Penn, ,Enduro | Master Male,00:24:43.2,+5:17.40, ,00:05:17.3,525th,00:03:50.8,420th,00:03:36.4,424th,00:03:38.7,367th,00:02:42.1,526th,00:02:57.7,594th,00:02:40.2,343rd
404th,494,Dan Byrne, ,Enduro | Master Male,00:24:43.6,+5:17.83, ,00:05:02.7,340th,00:03:42.2,306th,00:03:44.3,551st,00:03:44.3,466th,00:02:49.9,723rd,00:02:53.6,479th,00:02:46.6,474th=
405th,570,Mark Gillam,Velo Ulverston,Enduro | Master Male,00:24:43.7,+5:17.93, ,00:05:05.3,371st,00:04:04.5,573rd,00:03:38.1,462nd=,00:03:44.8,471st=,00:02:36.4,358th,00:02:55.1,517th,00:02:39.6,329th=
406th,393,Thomas Bower,Dirtlab,Enduro | Master Male,00:24:44.0,+5:18.24, ,00:05:10.3,460th=,00:04:04.7,577th,00:03:35.4,411th,00:03:41.4,408th,00:02:34.4,292nd,00:02:49.3,336th=,00:02:48.6,502nd
407th,767,Andy Kempe,TFUK,Enduro | Senior Male,00:24:44.3,+5:18.58, ,00:05:07.4,412th,00:03:57.9,503rd=,00:03:32.9,367th,00:03:41.1,404th,00:02:32.7,248th,00:03:05.2,737th,00:02:47.1,485th
408th,268,Sam Cassell,Bad brains mbc,Enduro | Senior Male,00:24:45.7,+5:19.92, ,00:05:06.2,385th,00:03:54.8,466th,00:03:49.6,618th,00:03:48.6,541st,00:02:40.1,475th,00:02:48.3,308th,00:02:38.0,294th
409th,875,James Smith,Smith Brothers,Enduro | Veteran Male,00:24:45.9,+5:20.12, ,00:05:11.3,469th=,00:04:05.7,592nd,00:03:29.9,313th,00:03:44.8,471st=,00:02:37.7,396th,00:02:50.4,374th,00:02:46.2,467th
410th,456,Gary Mcluskey,Fire Road 5,Enduro | Master Male,00:24:46.4,+5:20.64, ,00:05:06.7,394th,00:03:54.4,464th,00:03:39.2,482nd,00:03:41.9,421st=,00:02:39.9,469th,00:02:55.7,533rd,00:02:48.6,503rd
411th,511,Paul Coulson,Hadleigh MTB Club Enduro Team,Enduro | Grand Vet Male,00:24:46.6,+5:20.85, ,00:05:14.3,497th=,00:03:54.9,469th,00:03:39.5,491st,00:03:49.0,546th,00:02:35.9,344th,00:02:47.7,290th,00:02:45.2,449th
412th,864,Ian Martin,Shitans,Enduro | Master Male,00:24:46.7,+5:20.98, ,00:05:06.9,402nd,00:03:51.2,424th=,00:03:42.7,533rd,00:03:46.1,494th,00:02:36.6,366th=,00:02:56.5,548th=,00:02:46.8,481st
413th,547,Simon Hanley,team Jon,Enduro | Master Male,00:24:46.8,+5:21.03, ,00:05:07.3,409th,00:03:56.6,488th,00:03:36.7,431st,00:03:44.0,460th,00:02:40.5,488th,00:02:56.3,544th=,00:02:45.4,450th
414th,91,Neil Dickinson,TNR,Enduro | Veteran Male,00:24:47.0,+5:21.26, ,00:05:07.7,416th=,00:03:57.1,496th,00:03:36.8,433rd=,00:03:42.2,428th,00:02:46.1,639th,00:02:57.3,581st,00:02:40.0,339th
415th,988,Philip Mulcaster,Thunder Horse,Enduro | Veteran Male,00:24:47.6,+5:21.81, ,00:05:22.5,590th,00:03:53.6,455th,00:03:34.3,392nd,00:03:44.1,461st,00:02:37.0,382nd,00:02:56.7,560th=,00:02:39.3,317th=
416th,972,Charlie Wilson,The Marske Crew,Enduro | Senior Male,00:24:48.0,+5:22.19, ,00:05:09.8,452nd,00:03:52.5,439th,00:03:40.1,497th,00:03:48.2,533rd,00:02:35.5,324th,00:02:53.1,461st=,00:02:48.7,504th
417th,601,Matthew Heeley, ,Enduro | Senior Male,00:24:49.4,+5:23.59, ,00:04:56.2,267th,00:03:31.9,188th,00:03:26.6,245th,00:03:24.8,158th,00:02:29.8,172nd,00:02:45.9,242nd=,00:04:14.2,931st
418th,1190,James Harman,Burgtec,Enduro | Senior Male,00:24:50.1,+5:24.28, ,00:04:24.1,36th,00:03:28.3,157th,00:05:00.3,918th,00:03:43.2,443rd,00:02:40.9,498th=,00:03:00.8,657th,00:02:32.5,201st
419th,587,Jim Millward,Let's go ride bikes,Enduro | Master Male,00:24:50.6,+5:24.82, ,00:05:09.0,438th,00:03:48.0,387th,00:03:47.1,586th,00:03:46.3,499th,00:02:43.1,563rd,00:02:51.9,420th,00:02:45.1,447th
420th,1034,Stephen Richards,#SupportOurParas,Enduro | Grand Vet Male,00:24:51.5,+5:25.68, ,00:05:09.8,451st,00:03:44.1,333rd=,00:03:43.7,546th,00:03:40.7,400th,00:02:48.3,678th,00:03:05.3,738th,00:02:39.6,327th
421st,115,Dave Mawer,D&M Fabrication,Enduro | Master Male,00:24:51.5,+5:25.71, ,00:05:08.8,433rd=,00:03:59.0,515th,00:03:34.5,397th,00:03:47.0,515th,00:02:43.0,561st,00:02:56.7,556th=,00:02:42.5,394th
422nd,72,Richard Jex,Velosport,Enduro | Veteran Male,00:24:52.0,+5:26.19, ,00:05:19.7,559th=,00:03:47.5,379th,00:03:28.3,282nd,00:03:59.4,667th,00:02:44.0,586th,00:02:52.4,443rd,00:02:40.6,356th
423rd,387,Steven Redmayne, ,Enduro | Master Male,00:24:52.0,+5:26.22, ,00:05:08.9,437th,00:03:50.7,418th,00:03:38.4,469th,00:03:47.7,523rd=,00:02:47.1,652nd,00:02:57.4,583rd,00:02:41.8,375th
424th,795,Andy Wood,Bike Doctor Racing,Enduro | Veteran Male,00:24:52.1,+5:26.32, ,00:05:06.4,389th,00:03:56.7,490th,00:03:40.5,501st,00:03:44.3,467th,00:02:37.1,386th,00:02:54.9,508th,00:02:52.2,565th=
425th,726,William Mulholland,Guildford Flames,Enduro | Master Male,00:24:52.2,+5:26.41, ,00:05:08.9,436th,00:03:50.0,406th,00:03:57.0,694th,00:03:40.2,393rd,00:02:39.0,438th,00:02:58.0,605th,00:02:39.1,313th
426th,394,Paul Finch,Dirtlab,Enduro | Master Male,00:24:52.6,+5:26.79, ,00:05:10.3,460th=,00:04:01.5,556th,00:03:38.0,459th,00:03:44.0,459th,00:02:41.0,503rd,00:02:49.8,356th,00:02:48.0,498th
427th,696,David Edwards,Team Monduro,Enduro | Veteran Male,00:24:52.7,+5:26.92, ,00:05:07.3,410th,00:03:57.3,498th,00:03:37.3,446th,00:03:42.0,425th,00:02:43.2,566th=,00:02:55.1,518th,00:02:50.3,534th
428th,633,Derek Mcnutt,Manx Ard Rockers,Enduro | Veteran Male,00:24:53.0,+5:27.22, ,00:05:13.8,488th,00:03:50.2,408th,00:03:34.6,398th,00:03:49.4,550th,00:02:41.3,510th,00:02:52.9,450th,00:02:50.9,547th
429th,937,Mark Franklin, ,Enduro | Veteran Male,00:24:53.1,+5:27.30, ,00:05:06.9,401st,00:04:01.0,547th,00:03:41.7,516th,00:03:43.3,445th,00:02:35.7,331st,00:02:54.9,509th,00:02:49.6,525th=
430th,111,Ben Walker,TMO Racing,Enduro | Master Male,00:24:53.1,+5:27.35, ,00:05:16.5,518th,00:03:51.7,431st,00:03:33.4,375th,00:03:39.4,381st,00:02:47.8,661st,00:02:57.7,593rd,00:02:46.6,474th=
431st,330,Tom Hamilton,Badger Racing,Enduro | Hardtail Male,00:24:53.6,+5:27.82, ,00:05:07.1,404th,00:04:04.1,572nd,00:03:37.7,451st=,00:03:37.6,340th=,00:02:39.5,454th,00:02:56.9,567th,00:02:50.7,545th
432nd,327,Ben Copeland, ,Enduro | Master Male,00:24:53.9,+5:28.14, ,00:05:18.6,540th=,00:03:50.8,419th,00:03:47.7,594th,00:03:39.2,374th,00:02:44.2,593rd,00:02:49.9,358th,00:02:43.6,417th
433rd,1018,Ryan Griffiths, ,Enduro | Senior Male,00:24:54.3,+5:28.54, ,00:05:08.4,428th,00:04:08.7,623rd,00:03:40.8,506th,00:03:41.7,412th=,00:02:36.6,366th=,00:02:51.0,394th,00:02:47.2,488th
434th,848,Eddie Johnstone,SAMM,Enduro | Master Male,00:24:54.4,+5:28.63, ,00:05:01.8,330th,00:03:56.0,479th,00:03:33.8,378th=,00:03:48.5,539th,00:02:40.9,501st,00:02:58.3,607th,00:02:55.1,605th
435th,559,Shaun Butler, ,Enduro | Master Male,00:24:54.5,+5:28.70, ,00:05:06.4,390th,00:04:13.6,669th,00:03:29.2,297th=,00:03:48.5,540th,00:02:42.1,531st,00:02:49.1,327th=,00:02:45.6,455th
436th,923,James Dart,Team ABR,Enduro | Senior Male,00:24:55.0,+5:29.20, ,00:04:25.9,41st,00:03:09.4,37th=,00:06:56.2,958th,00:03:12.3,54th,00:02:18.1,22nd=,00:02:34.6,48th=,00:02:18.3,48th
437th,78,Paul Judd,6SEVEN,Enduro | Grand Vet Male,00:24:55.2,+5:29.42, ,00:05:11.2,466th,00:03:59.4,520th,00:03:34.5,396th,00:03:41.1,406th,00:02:43.3,572nd,00:02:54.6,504th,00:02:51.0,548th=
438th,245,Adam Linford,doom666,Enduro | Master Male,00:24:56.0,+5:30.20, ,00:05:14.0,491st,00:03:53.9,459th,00:03:44.9,559th=,00:03:44.7,470th,00:02:38.6,430th=,00:02:52.9,452nd,00:02:46.9,482nd=
439th,1073,Damien Hornby, ,Enduro | Master Male,00:24:56.0,+5:30.28, ,00:05:14.8,505th,00:03:55.6,477th,00:03:37.8,454th,00:03:38.8,368th,00:02:39.2,442nd,00:03:04.2,709th,00:02:45.7,458th
440th,592,Dean Atkinson,Leyburn Bikes,Enduro | Master Male,00:24:56.7,+5:30.93, ,00:05:15.7,509th,00:03:58.9,512th,00:03:39.3,483rd,00:03:45.8,490th,00:02:42.5,545th,00:02:50.9,388th,00:02:43.6,416th
441st,644,Martin Tvaroh,Manx MTB Enduro,Enduro | Veteran Male,00:24:56.9,+5:31.17, ,00:05:05.0,363rd,00:04:07.9,619th,00:03:34.6,399th,00:03:42.6,434th,00:02:39.7,461st,00:02:55.1,515th,00:02:52.2,567th
442nd,948,Danny Hopwood,Team Zurpetron,Enduro | Veteran Male,00:24:57.2,+5:31.46, ,00:05:16.3,515th,00:04:02.4,560th,00:03:42.2,520th,00:03:46.4,503rd,00:02:42.1,527th,00:02:47.3,281st,00:02:40.6,355th
443rd,688,Nick Turner,MMB,Enduro | Master Male,00:24:57.2,+5:31.46, ,00:05:06.3,388th,00:04:06.2,598th,00:03:44.4,552nd,00:03:46.2,498th,00:02:39.2,444th=,00:02:50.4,373rd,00:02:44.5,435th
444th,185,Sam Holmes, ,Enduro | Senior Male,00:24:57.9,+5:32.11, ,00:04:46.8,184th,00:02:59.7,12th,00:07:15.6,963rd,00:03:00.3,10th,00:02:17.2,15th,00:02:30.0,20th,00:02:08.2,10th
445th,396,Daniel Pearson,Dirtlab,Enduro | Master Male,00:24:58.7,+5:32.92, ,00:04:57.1,277th,00:04:37.6,830th,00:03:30.3,322nd,00:03:38.0,351st=,00:02:38.7,432nd=,00:02:48.1,300th,00:02:48.8,505th=
446th,429,Mason Winfield,DVATC,Enduro | Veteran Male,00:24:59.2,+5:33.46, ,00:05:20.7,572nd,00:03:51.1,423rd,00:03:44.6,555th,00:03:50.3,563rd,00:02:40.3,485th,00:02:53.4,473rd=,00:02:38.8,310th
447th,953,Benjamin Leathley, ,Enduro | Master Male,00:24:59.7,+5:33.94, ,00:05:07.7,416th=,00:04:36.6,824th,00:03:31.9,345th,00:03:36.9,327th,00:02:34.9,305th,00:02:53.2,466th,00:02:38.5,300th
448th,722,Matthew Quayle,This is Sheffield,Enduro | Master Male,00:24:59.8,+5:34.01, ,00:05:22.9,596th,00:03:35.8,226th,00:03:19.3,162nd,00:03:32.9,271st,00:02:25.1,82nd,00:02:40.9,134th,00:04:02.8,925th
449th,989,Lee Morrison,Thunder Horse,Enduro | Master Male,00:25:00.2,+5:34.40, ,00:05:08.5,429th,00:04:00.8,544th,00:03:43.8,547th,00:03:42.8,439th,00:02:37.5,393rd,00:03:00.2,644th,00:02:46.5,473rd
450th,283,Bennet Janz,Team Catchy,Enduro | Senior Male,00:25:00.3,+5:34.53, ,00:05:26.0,626th,00:04:04.8,580th,00:03:37.9,457th,00:03:42.8,438th,00:02:37.1,383rd,00:02:49.2,333rd=,00:02:42.4,392nd
451st,692,Ian Scott,MMB,Enduro | Master Male,00:25:00.5,+5:34.77, ,00:05:11.3,468th,00:04:00.8,542nd,00:03:44.1,549th,00:03:45.4,480th,00:02:41.1,504th,00:02:51.5,411th=,00:02:46.4,471st
452nd,832,Saskia Baxter,Beauty & The Beasts,Enduro | Senior Female,00:25:00.6,+5:34.80, ,00:05:06.5,392nd,00:03:55.6,476th,00:03:44.7,556th,00:03:48.1,529th,00:02:44.8,611th,00:02:59.1,624th,00:02:41.8,378th
453rd,383,Paul Wilkinson,Dave and Paul,Enduro | Master Male,00:25:00.7,+5:34.88, ,00:04:43.9,152nd=,00:03:41.1,284th,00:03:26.0,236th,00:05:07.7,926th,00:02:34.2,282nd,00:02:47.4,285th=,00:02:40.4,349th=
454th,672,Nick Rowling, ,Enduro | Master Male,00:25:01.7,+5:35.93, ,00:05:01.5,327th,00:04:05.1,585th,00:03:48.2,602nd,00:03:49.0,545th,00:02:37.3,391st,00:02:51.1,396th,00:02:49.6,525th=
455th,684,Steve Pearson,MLCB,Enduro | Veteran Male,00:25:01.8,+5:36.04, ,00:05:07.7,418th,00:03:45.9,358th,00:03:37.0,436th,00:03:53.7,607th,00:02:41.7,517th,00:02:57.6,590th,00:02:58.1,652nd
456th,697,Andrew Phillips,Team Monduro,Enduro | Veteran Male,00:25:02.0,+5:36.22, ,00:05:08.3,427th,00:03:58.9,514th,00:03:40.9,507th,00:03:46.2,497th,00:02:43.0,560th,00:02:58.9,619th,00:02:45.7,459th
457th,665,James Worthington,Mid life Crisis,Enduro | Veteran Male,00:25:02.1,+5:36.30, ,00:05:13.2,483rd,00:03:49.2,398th,00:03:39.3,484th,00:03:49.0,547th,00:02:44.7,607th=,00:03:01.2,662nd,00:02:45.4,452nd
458th,362,Alexander Hall,Team Meow,Enduro | Senior Male,00:25:02.3,+5:36.56, ,00:05:01.5,328th,00:04:11.4,649th=,00:03:37.9,458th,00:03:50.8,569th,00:02:36.2,355th,00:02:50.5,379th,00:02:53.9,583rd
459th,924,Rachel Manning,Team ABR,Enduro | Senior Female,00:25:02.3,+5:36.57, ,00:05:10.2,459th,00:04:02.1,559th,00:03:38.1,465th,00:03:47.7,523rd=,00:02:38.8,435th,00:02:55.1,513th,00:02:50.3,533rd
460th,498,Bryn Taylor,The Guards Enduro Team,Enduro | Veteran Male,00:25:02.6,+5:36.86, ,00:05:19.0,551st,00:03:59.0,517th,00:03:44.3,550th,00:03:42.1,426th=,00:02:41.9,520th,00:02:52.0,425th,00:02:44.3,432nd
461st,64,Paul Jepson,Splatshop,Enduro | Veteran Male,00:25:02.7,+5:36.95, ,00:05:13.1,482nd,00:03:59.1,518th,00:03:41.1,510th,00:03:42.7,436th,00:02:42.6,548th,00:02:56.2,542nd,00:02:47.9,495th
462nd,971,Michael Sumpton,The Marske Crew,Enduro | Senior Male,00:25:04.1,+5:38.32, ,00:05:18.3,536th,00:03:57.7,501st,00:03:35.0,406th,00:03:50.6,567th,00:02:36.9,376th=,00:02:54.5,499th,00:02:51.1,550th
463rd,214,Josh Asquith,arrow cycles,Enduro | Senior Male,00:25:04.2,+5:38.40, ,00:05:11.0,465th,00:03:53.4,449th,00:03:41.6,515th,00:03:42.1,426th=,00:02:38.3,420th,00:02:53.1,463rd,00:03:04.8,724th
464th,1021,Sam Walton,Wizards Council,Enduro | Senior Male,00:25:04.4,+5:38.60, ,00:05:09.7,446th,00:03:58.2,508th=,00:03:30.6,325th,00:03:55.7,621st,00:02:39.5,456th,00:02:56.5,551st,00:02:54.2,587th
465th,312,Andy Hildreth,BikeSquad,Enduro | Senior Male,00:25:04.5,+5:38.69, ,00:05:07.4,411th,00:03:56.9,493rd,00:03:55.8,677th,00:03:47.1,516th=,00:02:40.1,480th,00:02:55.9,535th,00:02:41.1,362nd
